TAIR ID;Name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1 logFC_4h_SRP017925;2 logFC_4h_SRP017926;3 logFC_4h_SRP069072;4 logFC_4h_SRP076862_root;5 logFC_4h_SRP168223;6 logFC_12h_SRP017925;7 logFC_24h_SRP017925;8 logFC_4h_SRP076862_shoot;9 logFC_4h_GSE7432;10 logFC_4h_SRP126162;11 logFC_2h_SRP118634;12 logFC_4h_SRP118634;13 logFC_4h_GSE84446;14 logFC_8h_GSE84446;15 logFC_12h_GSE84446;16 logFC_24h_GSE84446;1 FDR_4h_SRP017925;2 FDR_4h_SRP017926;3 FDR_4h_SRP069072;4 FDR_4h_SRP076862_root;5 FDR_4h_SRP168223;6 FDR_12h_SRP017925;7 FDR_24h_SRP017925;8 FDR_4h_SRP076862_shoot;9 FDR_4h_GSE7432;10 FDR_4h_SRP126162;11 FDR_2h_SRP118634;12 FDR_4h_SRP118634;13 FDR_4h_GSE84446;14 FDR_8h_GSE84446;15 FDR_12h_GSE84446;16 FDR_24h_GSE84446
AT2G36650;CHUP1-like protein(AT2G36650);14-15;;2;8_24h;;;;;;;;;;;;;;-1.6;-1.4;;;;;;;;;;;;;;;0.021646168;0.01768085;
AT3G50610;DNA-directed RNA polymerase II subunit RPB1-like protein(AT3G50610);14-15;;2;8_24h;;;;;;;;;;;;;;-1.5;-1.6;;;;;;;;;;;;;;;0.008051444;0.021524431;
AT4G18630;hypothetical protein (DUF688)(AT4G18630);14;;1;8_24h;;;;;;;;;;;;;;-1.4;;;;;;;;;;;;;;;;0.004565876;;
AT1G60470;galactinol synthase 4(GolS4);14;;1;8_24h;;;;;;;;;;;;;;-1.4;;;;;;;;;;;;;;;;0.017553562;;
AT5G64510;tunicamycin induced protein(TIN1);14#16;;2;8_24h;;;;;;;;;;;;;;-1.4;;-1.8;;;;;;;;;;;;;;0.014592645;;0.00076438
AT5G67370;DUF1230 family protein (DUF1230)(CGLD27);14-16;;3;8_24h;;;;;;;;;;;;;;-1.3;-1.8;-1.4;;;;;;;;;;;;;;0.017452254;0.007199451;0.009721974
AT3G08590;Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent(iPGAM2);14#16;;2;8_24h;;;;;;;;;;;;;;-1.3;;-1.3;;;;;;;;;;;;;;0.015562137;;0.02409744
AT4G02090;multidrug resistance protein ABC transporter family protein(AT4G02090);14-16;;3;8_24h;;;;;;;;;;;;;;-1.3;-1.5;-1.6;;;;;;;;;;;;;;0.00692552;0.003294144;0.00121142
AT1G50400;Eukaryotic porin family protein(AT1G50400);14#16;;2;8_24h;;;;;;;;;;;;;;-1.3;;-1;;;;;;;;;;;;;;0.003567518;;0.024840058
AT1G52880;NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(NAM);14#16;;2;8_24h;;;;;;;;;;;;;;-1.3;;-1.3;;;;;;;;;;;;;;0.004329966;;0.003976129
AT3G22610;;14-16;;3;8_24h;;;;;;;;;;;;;;-1.2;-1.1;-1;;;;;;;;;;;;;;0.003778543;0.009636086;0.030534529
AT3G61630;cytokinin response factor 6(CRF6);14;;1;8_24h;;;;;;;;;;;;;;-1.2;;;;;;;;;;;;;;;;0.003461747;;
AT1G24090;RNase H family protein(AT1G24090);14#16;;2;8_24h;;;;;;;;;;;;;;-1.2;;-0.9;;;;;;;;;;;;;;0.011895668;;0.037018039
AT2G21100;Disease resistance-responsive (dirigent-like protein) family protein(AT2G21100);6#14-16;;4;8_24h;;;;;;-1.3;;;;;;;;-1.2;-1.4;-1.5;;;;;;0.018457885;;;;;;;;0.030447291;0.037550248;0.010972268
AT5G16770;myb domain protein 9(MYB9);6-7#14;;3;8_24h;;;;;;-2.9;-2.5;;;;;;;-1.2;;;;;;;;0.002840092;0.006788477;;;;;;;0.009110556;;
AT1G73630;EF hand calcium-binding protein family(AT1G73630);14-15;;2;8_24h;;;;;;;;;;;;;;-1.1;-1.1;;;;;;;;;;;;;;;0.002786579;0.036116986;
AT4G13580;Disease resistance-responsive (dirigent-like protein) family protein(AT4G13580);14-16;;3;8_24h;;;;;;;;;;;;;;-1.1;-1.4;-1.3;;;;;;;;;;;;;;0.021761921;0.003294144;0.002255606
AT1G22335;;14-16;;3;8_24h;;;;;;;;;;;;;;-1.1;-1.2;-1;;;;;;;;;;;;;;0.029789381;0.009767447;0.008852982
AT3G17110;miscRNA(AT3G17110);14-16;;3;8_24h;;;;;;;;;;;;;;-1.1;-1;-0.7;;;;;;;;;;;;;;0.010627847;0.018363159;0.038131506
AT4G27940;manganese tracking factor for mitochondrial SOD2(MTM1);14-16;;3;8_24h;;;;;;;;;;;;;;-1;-0.8;-0.9;;;;;;;;;;;;;;0.008051444;0.028293495;0.010798978
AT2G33580;Protein kinase superfamily protein(LYK5);14;;1;8_24h;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;0.028662207;;
AT5G51680;hydroxyproline-rich glycoprotein family protein(AT5G51680);14-16;;3;8_24h;;;;;;;;;;;;;;-1;-1.1;-1.1;;;;;;;;;;;;;;0.00914857;0.012188881;0.007605963
AT1G63530;hypothetical protein(AT1G63530);14;;1;8_24h;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;0.010199924;;
AT5G55200;Co-chaperone GrpE family protein(MGE1);14#16;;2;8_24h;;;;;;;;;;;;;;-1;;-1;;;;;;;;;;;;;;0.02663313;;0.040631456
AT5G53820;Late embryogenesis abundant protein (LEA) family protein(AT5G53820);14;;1;8_24h;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;0.038012287;;
AT1G10170;NF-X-like 1(NFXL1);14;;1;8_24h;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;0.039854449;;
AT5G19260;FANTASTIC four-like protein (DUF3049)(FAF3);14;7;2;8_24h;;;;;;;1.3;;;;;;;-0.9;;;;;;;;;0.018566966;;;;;;;0.007714539;;
AT1G69790;Protein kinase superfamily protein(AT1G69790);14-15;;2;8_24h;;;;;;;;;;;;;;-0.9;-0.8;;;;;;;;;;;;;;;0.004923547;0.041213377;
AT1G07730;Disease resistance-responsive (dirigent-like protein) family protein(AT1G07730);14-16;;3;8_24h;;;;;;;;;;;;;;-0.9;-1;-1;;;;;;;;;;;;;;0.010334975;0.033208751;0.015274906
AT1G48800;Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT1G48800);14;;1;8_24h;;;;;;;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.016582201;;
AT1G31490;HXXXD-type acyl-transferase family protein(AT1G31490);14-15;;2;8_24h;;;;;;;;;;;;;;-0.9;-0.9;;;;;;;;;;;;;;;0.003567518;0.009767447;
AT5G26655;;14#16;;2;8_24h;;;;;;;;;;;;;;-0.9;;-0.8;;;;;;;;;;;;;;0.004868276;;0.025980914
AT5G09420;translocon at the outer membrane of chloroplasts 64-V(TOC64-V);14;;1;8_24h;;;;;;;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.037362906;;
AT1G51640;exocyst subunit exo70 family protein G2(EXO70G2);14;;1;8_24h;;;;;;;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.038739139;;
AT3G27880;hypothetical protein (DUF1645)(AT3G27880);14#16;;2;8_24h;;;;;;;;;;;;;;-0.9;;-0.6;;;;;;;;;;;;;;0.010627847;;0.025073127
AT2G40160;trichome birefringence-like protein (DUF828)(TBL30);14;;1;8_24h;;;;;;;;;;;;;;-0.9;;;;;;;;;;;;;;;;0.015562137;;
AT2G38060;"phosphate transporter 4;2(PHT4;2)";14-15;;2;8_24h;;;;;;;;;;;;;;-0.9;-0.9;;;;;;;;;;;;;;;0.037742735;0.040541948;
AT1G19190;alpha/beta-Hydrolases superfamily protein(AT1G19190);14;;1;8_24h;;;;;;;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.011450582;;
AT4G34510;3-ketoacyl-CoA synthase 17(KCS17);14;;1;8_24h;;;;;;;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.026608807;;
AT5G11930;Thioredoxin superfamily protein(AT5G11930);14;;1;8_24h;;;;;;;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.022850856;;
AT2G19200;miscRNA(AT2G19200);14#16;;2;8_24h;;;;;;;;;;;;;;-0.8;;-1.4;;;;;;;;;;;;;;0.020560079;;0.030539898
AT5G45970;RAC-like 2(RAC2);14-16;;3;8_24h;;;;;;;;;;;;;;-0.8;-1.2;-1.4;;;;;;;;;;;;;;0.040209876;0.010083841;0.002670069
AT1G30500;nuclear factor Y, subunit A7(NF-YA7);14;;1;8_24h;;;;;;;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.027343079;;
AT2G36570;Leucine-rich repeat protein kinase family protein(AT2G36570);14#16;6;3;8_24h;;;;;;0.9;;;;;;;;-0.8;;-1.2;;;;;;0.000890861;;;;;;;;0.023177014;;0.036988695
AT2G46570;laccase 6(LAC6);14-15;;2;8_24h;;;;;;;;;;;;;;-0.8;-0.8;;;;;;;;;;;;;;;0.035495783;0.040343315;
AT3G15250;TPRXL(AT3G15250);14#16;;2;8_24h;;;;;;;;;;;;;;-0.8;;-0.9;;;;;;;;;;;;;;0.043559486;;0.020634239
AT1G11730;Galactosyltransferase family protein(AT1G11730);14;;1;8_24h;;;;;;;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.036061821;;
AT5G17650;glycine/proline-rich protein(AT5G17650);14-16;;3;8_24h;;;;;;;;;;;;;;-0.8;-0.8;-0.7;;;;;;;;;;;;;;0.009494591;0.01372245;0.012680702
AT5G37810;"NOD26-like intrinsic protein 4;1(NIP4;1)";14#16;;2;8_24h;;;;;;;;;;;;;;-0.8;;-1.1;;;;;;;;;;;;;;0.027198111;;0.028846315
AT2G38970;Zinc finger (C3HC4-type RING finger) family protein(AT2G38970);14-15;;2;8_24h;;;;;;;;;;;;;;-0.8;-0.6;;;;;;;;;;;;;;;0.011687276;0.037759806;
AT5G12870;myb domain protein 46(MYB46);14#16;;2;8_24h;;;;;;;;;;;;;;-0.8;;-1;;;;;;;;;;;;;;0.01662128;;0.012312763
AT1G37607;;14-16;;3;8_24h;;;;;;;;;;;;;;-0.8;-0.8;-0.7;;;;;;;;;;;;;;0.022344396;0.034047441;0.022109652
AT5G55590;Pectin lyase-like superfamily protein(QRT1);14-16;;3;8_24h;;;;;;;;;;;;;;-0.8;-1;-1.4;;;;;;;;;;;;;;0.039307882;0.041416207;0.007539252
AT1G22990;Heavy metal transport/detoxification superfamily protein(HIPP22);14;;1;8_24h;;;;;;;;;;;;;;-0.8;;;;;;;;;;;;;;;;0.032590276;;
AT1G56170;nuclear factor Y, subunit C2(NF-YC2);14-15;;2;8_24h;;;;;;;;;;;;;;-0.7;-0.7;;;;;;;;;;;;;;;0.035889249;0.038330821;
AT2G37950;RING/FYVE/PHD zinc finger superfamily protein(AT2G37950);14#16;;2;8_24h;;;;;;;;;;;;;;-0.7;;-1.2;;;;;;;;;;;;;;0.032563818;;0.004083455
AT2G35150;EXORDIUM like 7(EXL7);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.00805808;;
AT1G24600;hypothetical protein(AT1G24600);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.013906304;;
AT5G47635;Pollen Ole e 1 allergen and extensin family protein(AT5G47635);6-7#14#16;;4;8_24h;;;;;;-1.1;-2.5;;;;;;;-0.7;;-1.6;;;;;;0.01365016;1.30E-08;;;;;;;0.021673566;;0.012312763
AT5G60730;Anion-transporting ATPase(AT5G60730);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.031521981;;
AT3G62590;alpha/beta-Hydrolases superfamily protein(AT3G62590);14-15;;2;8_24h;;;;;;;;;;;;;;-0.7;-1;;;;;;;;;;;;;;;0.043762335;0.009767447;
AT5G02640;hypothetical protein(AT5G02640);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.028657599;;
AT1G63090;phloem protein 2-A11(PP2-A11);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.042329309;;
AT1G16530;ASYMMETRIC LEAVES 2-like 9(ASL9);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.019240335;;
AT1G70895;CLAVATA3/ESR-RELATED 17(CLE17);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.03028577;;
AT3G04370;plasmodesmata-located protein 4(PDLP4);7#14#16;;3;8_24h;;;;;;;-3.1;;;;;;;-0.7;;-1.8;;;;;;;0.033296747;;;;;;;0.012189835;;0.015220509
AT2G31860;miscRNA(AT2G31860);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.008967814;;
AT5G05250;hypothetical protein(AT5G05250);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.038012287;;
AT2G46760;D-arabinono-1,4-lactone oxidase family protein(GulLO6);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.01662128;;
AT1G28210;DNAJ heat shock family protein(ATJ1);14-15;;2;8_24h;;;;;;;;;;;;;;-0.7;-0.6;;;;;;;;;;;;;;;0.011058593;0.021221185;
AT5G35960;Protein kinase family protein(AT5G35960);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.018789845;;
AT4G04790;Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G04790);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.024903827;;
AT3G47950;H[+]-ATPase 4(HA4);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.040463705;;
AT2G43670;Carbohydrate-binding X8 domain superfamily protein(AT2G43670);6-7#14#16;;4;8_24h;;;;;;-2.8;-4.1;;;;;;;-0.7;;-1.4;;;;;;0.001633732;0.000129826;;;;;;;0.013700841;;0.020355264
AT1G08250;arogenate dehydratase 6(ADT6);14#16;;2;8_24h;;;;;;;;;;;;;;-0.7;;-0.6;;;;;;;;;;;;;;0.037362906;;0.042981219
AT1G50590;RmlC-like cupins superfamily protein(AT1G50590);14#16;;2;8_24h;;;;;;;;;;;;;;-0.7;;-0.7;;;;;;;;;;;;;;0.041370919;;0.01595687
AT4G00234;mechanosensitive ion channel-like protein(AT4G00234);14#16;;2;8_24h;;;;;;;;;;;;;;-0.7;;-0.7;;;;;;;;;;;;;;0.033348562;;0.040181562
AT1G55265;DUF538 family protein, putative (Protein of unknown function, DUF538)(AT1G55265);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.014829893;;
AT2G25625;histone deacetylase-like protein(AT2G25625);14;;1;8_24h;;;;;;;;;;;;;;-0.7;;;;;;;;;;;;;;;;0.044052204;;
AT5G15630;COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family(IRX6);7#14#16;;3;8_24h;;;;;;;-1.2;;;;;;;-0.7;;-1.1;;;;;;;0.000723561;;;;;;;0.043245795;;0.005454873
AT5G27200;acyl carrier protein 5(ACP5);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.031521981;;
AT3G57090;Tetratricopeptide repeat (TPR)-like superfamily protein(BIGYIN);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.012277766;;
AT5G48030;gametophytic factor 2(GFA2);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.043245795;;
AT2G18190;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G18190);14#16;;2;8_24h;;;;;;;;;;;;;;-0.6;;-0.6;;;;;;;;;;;;;;0.018194464;;0.044531755
AT1G65560;Zinc-binding dehydrogenase family protein(AT1G65560);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.020558576;;
AT1G67820;Protein phosphatase 2C family protein(AT1G67820);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.013899868;;
AT2G28650;exocyst subunit exo70 family protein H8(EXO70H8);14-15;;2;8_24h;;;;;;;;;;;;;;-0.6;-0.8;;;;;;;;;;;;;;;0.026608807;0.033538255;
AT1G43020;electron protein, putative (Protein of unknown function, DUF547)(AT1G43020);14#16;;2;8_24h;;;;;;;;;;;;;;-0.6;;-0.9;;;;;;;;;;;;;;0.028626292;;0.014140637
AT2G47200;hypothetical protein(AT2G47200);6-7#14#16;;4;8_24h;;;;;;-1.9;-2.9;;;;;;;-0.6;;-2.1;;;;;;0.017877297;0.000310482;;;;;;;0.022078128;;0.011100726
AT5G52550;stress response NST1-like protein(AT5G52550);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.023353268;;
AT5G07800;Flavin-binding monooxygenase family protein(AT5G07800);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.012278654;;
AT3G44940;enabled-like protein (DUF1635)(AT3G44940);14#16;;2;8_24h;;;;;;;;;;;;;;-0.6;;-0.9;;;;;;;;;;;;;;0.03765912;;0.032996759
AT2G28720;Histone superfamily protein(AT2G28720);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.019381251;;
AT1G68430;hypothetical protein(AT1G68430);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.013886756;;
AT1G15960;NRAMP metal ion transporter 6(NRAMP6);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.010199924;;
AT5G40980;AT.I.24-6 protein, putative (DUF 3339)(AT5G40980);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.030179981;;
AT3G62730;desiccation-like protein(AT3G62730);14-16;;3;8_24h;;;;;;;;;;;;;;-0.6;-0.8;-0.9;;;;;;;;;;;;;;0.017454841;0.015500629;0.039729138
AT1G61240;lysine ketoglutarate reductase trans-splicing-like protein (DUF707)(AT1G61240);14-16;;3;8_24h;;;;;;;;;;;;;;-0.6;-0.8;-1;;;;;;;;;;;;;;0.032142024;0.008633495;0.025566683
AT2G25140;casein lytic proteinase B4(CLPB4);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.040209876;;
AT4G13000;AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT4G13000);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.029802948;;
AT1G43620;UDP-Glycosyltransferase superfamily protein(UGT80B1);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.016883587;;
AT1G80310;sulfate transmembrane transporter(MOT2);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.027103745;;
AT3G53940;Mitochondrial substrate carrier family protein(AT3G53940);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.024768075;;
AT2G45040;Matrixin family protein(AT2G45040);14-16;;3;8_24h;;;;;;;;;;;;;;-0.6;-0.9;-0.7;;;;;;;;;;;;;;0.039034949;0.009162097;0.012779703
AT5G18240;myb-related protein 1(MYR1);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.032918288;;
AT4G28890;RING/U-box superfamily protein(AT4G28890);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.034366568;;
AT5G48330;Regulator of chromosome condensation (RCC1) family protein(RUG2);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.042989923;;
AT3G51300;RHO-related protein from plants 1(ROP1);14-15;;2;8_24h;;;;;;;;;;;;;;-0.6;-0.7;;;;;;;;;;;;;;;0.030938617;0.017475887;
AT1G08280;Glycosyltransferase family 29 (sialyltransferase) family protein(AT1G08280);14;;1;8_24h;;;;;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.043428016;;
AT4G12440;adenine phosphoribosyl transferase 4(APT4);14#16;;2;8_24h;;;;;;;;;;;;;;-0.5;;-0.7;;;;;;;;;;;;;;0.039307882;;0.036697655
AT4G03320;translocon at the inner envelope membrane of chloroplasts 20-IV(Tic20-IV);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.028657599;;
AT3G17615;;14#16;;2;8_24h;;;;;;;;;;;;;;-0.5;;-0.7;;;;;;;;;;;;;;0.019148313;;0.009817396
AT1G10530;D-ribose-binding periplasmic protein(AT1G10530);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.041011232;;
AT4G33340;;14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.017879813;;
AT1G19970;ER lumen protein retaining receptor family protein(AT1G19970);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.016666606;;
AT2G37580;RING/U-box superfamily protein(AT2G37580);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.013886756;;
AT1G73410;myb domain protein 54(MYB54);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.037042458;;
AT3G29770;methyl esterase 11(MES11);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.017259221;;
AT3G02910;AIG2-like (avirulence induced gene) family protein(AT3G02910);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.026552399;;
AT3G01840;Protein kinase superfamily protein(LYK2);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.034134209;;
AT1G06000;UDP-Glycosyltransferase superfamily protein(AT1G06000);14#16;;2;8_24h;;;;;;;;;;;;;;-0.5;;-0.5;;;;;;;;;;;;;;0.033330814;;0.043847439
AT1G79420;C-type mannose receptor (DUF620)(AT1G79420);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.036124851;;
AT3G24760;Galactose oxidase/kelch repeat superfamily protein(AT3G24760);14;;1;8_24h;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.039762948;;
AT4G37190;plasma membrane, autoregulation-binding site, misato segment II, myosin-like, tubulin/FtsZ protein(AT4G37190);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.035893014;;
AT5G01730;SCAR family protein 4(SCAR4);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.043428016;;
AT3G04060;NAC domain containing protein 46(NAC046);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.043428016;;
AT1G10110;F-box family protein(AT1G10110);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.037742735;;
AT5G63760;RING/U-box superfamily protein(ARI15);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.032209349;;
AT1G54830;nuclear factor Y, subunit C3(NF-YC3);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.042329309;;
AT5G50420;O-fucosyltransferase family protein(AT5G50420);14;;1;8_24h;;;;;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.031521981;;
AT1G16650;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G16650);;14;1;8_24h;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;0.036702717;;
AT3G07270;GTP cyclohydrolase I(AT3G07270);;6#14;2;8_24h;;;;;;0.6;;;;;;;;0.4;;;;;;;;0.04;;;;;;;;0.037848054;;
AT5G09990;elicitor peptide 5 precursor(PROPEP5);;14;1;8_24h;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;0.032158715;;
AT1G48640;Transmembrane amino acid transporter family protein(AT1G48640);;6-7#14;3;8_24h;;;;;;2.4;2.3;;;;;;;0.5;;;;;;;;0.01488978;0.019242105;;;;;;;0.025678602;;
AT5G17880;disease resistance protein (TIR-NBS-LRR class)(CSA1);;14-15;2;8_24h;;;;;;;;;;;;;;0.5;0.6;;;;;;;;;;;;;;;0.034236336;0.027289583;
AT5G11270;overexpressor of cationic peroxidase 3(OCP3);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.018194464;;
AT1G34180;NAC domain containing protein 16(NAC016);;14#16;2;8_24h;;;;;;;;;;;;;;0.5;;0.8;;;;;;;;;;;;;;0.035528384;;0.041529155
AT5G13980;Glycosyl hydrolase family 38 protein(AT5G13980);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.028428959;;
